trial_number,value,state,hidden_size,epochs,lr,weight_decay
0,0.4315,TrialState.COMPLETE,8,14,1.529949829431264e-06,8.53691695803876e-08
1,0.4029,TrialState.COMPLETE,16,31,2.5639201733163117e-06,0.00024580300161477673
2,0.4189,TrialState.COMPLETE,8,14,2.4900208186207445e-06,0.00010086090098685986
