perturbation,mse,pearson,mse_de,pearson_de
ZBTB10+SNAI1,0.016850611,0.9483510878676942,0.0009222063,0.0
ZBTB10+ctrl,0.0071112914,0.9781467482130455,0.21684894,0.9652406362583861
ZC3HAV1+HOXC13,0.0026823818,0.9917648916482964,0.24213798,0.9404686646885239
ZNF318+FOXL2,0.0027667496,0.9914980328591798,0.15981308,0.9712839758576592
ctrl+CDKN1A,0.0038707238,0.9880922573923201,0.25579542,0.8745535451453179
ctrl+CDKN1B,0.0020042772,0.9939623935287956,0.00015812292,0.0
ctrl+CEBPB,0.009200359,0.9723637237363904,0.60955966,0.8390659033320844
ctrl+COL2A1,0.005112055,0.9844200439350697,0.56559473,0.4861294495422044
ctrl+FOXL2,0.0025114492,0.9924017204504941,0.120505616,0.9587296914251056
ctrl+MEIS1,0.0005839322,0.9982298524166565,0.030562332,0.9926780232781311
ctrl+OSR2,0.0030643523,0.9909530672586285,0.36288345,0.7962651939305943
ctrl+PRTG,0.0037160527,0.9886487215818089,0.46397096,0.8686352045624517
ctrl+PTPN9,0.0015218335,0.9954888391433806,0.039874125,0.9903948526625754
ctrl+SPI1,0.006939024,0.978744370588889,0.50724643,0.8352505791990552
